weight_kg,distance_km,is_express,is_fragile,shipping_cost
18.5,2050.93,0,0,32.34
48.6,2798.04,0,1,71.52
48.14,1729.12,0,0,43.94
12.96,382.72,0,1,28.89
25.11,1747.26,1,0,53.0
15.39,2300.21,0,0,36.98
14.6,1222.22,0,0,20.55
2.33,2640.11,1,1,73.92
30.67,1947.81,1,0,57.83
25.38,2698.25,0,0,43.05
3.05,1872.4,1,1,59.3
14.29,398.21,0,0,14.75
45.46,932.53,1,0,49.84
12.36,609.38,0,1,35.24
7.67,2726.94,0,1,54.06
24.73,2282.4,0,0,38.95
49.29,2030.81,1,0,67.85
12.48,906.39,0,0,20.51
33.77,556.21,0,0,27.07
38.2,2270.57,0,0,45.28
12.26,1425.1,1,0,36.69
36.55,681.24,1,0,36.79
18.71,1851.78,0,0,31.86
31.8,125.8,0,0,23.88
31.86,981.88,0,0,32.41
27.02,1408.33,0,0,35.35
4.97,448.14,1,0,13.3
41.85,2954.04,0,0,56.47
16.38,631.25,0,0,17.68
9.73,395.41,0,0,10.77
2.52,614.59,0,0,11.33
29.75,2308.34,0,0,45.63
34.04,1279.39,0,0,33.88
1.32,1698.42,0,0,26.56
25.85,67.92,0,0,19.98
11.71,108.12,0,0,10.95
32.44,1340.25,0,1,52.52
9.13,2450.88,0,0,35.19
34.7,2656.29,1,0,73.15
19.64,264.69,0,0,22.12
46.87,1617.4,0,0,45.26
7.31,2740.12,1,0,63.5
17.38,1166.98,0,0,23.22
6.12,2489.55,0,0,35.9
46.27,405.42,0,0,33.48
43.93,2806.51,0,0,56.6
13.27,2255.51,0,0,32.92
33.17,2824.3,0,0,51.91
40.95,2031.47,1,0,68.39
27.98,1093.39,1,0,39.19
26.72,2814.85,0,0,42.96
12.47,830.32,0,0,20.99
5.11,999.86,0,1,28.62
44.91,2103.92,0,0,48.88
45.07,2297.12,0,0,49.39
31.84,2788.56,1,0,79.74
17.28,618.38,0,0,18.84
17.79,2395.0,1,0,64.56
36.43,2216.95,1,1,81.27
44.91,196.06,1,1,48.87
44.41,1164.73,0,0,44.0
39.1,851.88,0,0,30.4
32.28,916.95,0,0,31.04
4.66,2948.93,0,0,43.69
8.5,1930.12,0,0,28.72
44.98,2154.44,0,0,49.19
30.52,2929.97,0,0,51.53
0.96,1134.72,0,0,16.93
5.52,2406.51,1,0,51.62
33.34,1306.42,0,0,37.57
0.75,2609.25,0,0,26.46
8.46,546.07,0,0,13.65
27.66,2843.32,1,1,93.72
34.75,660.22,0,0,28.09
32.77,982.03,0,1,44.47
11.6,2269.8,0,0,35.7
35.75,1184.3,1,0,44.43
12.24,1826.59,1,0,44.6
16.61,1336.5,0,1,42.35
37.45,2228.4,0,0,45.55
32.66,688.85,0,0,25.11
42.54,180.08,0,0,29.66
33.05,903.29,0,1,46.72
28.63,1425.55,1,1,61.93
5.14,508.22,1,1,32.0
18.7,1067.62,0,1,41.2
13.63,1202.95,0,0,26.82
12.58,176.89,0,0,12.35
48.66,1752.01,1,0,66.01
19.96,2653.61,1,0,69.46
44.66,459.47,0,1,49.12
31.74,1795.44,0,1,53.92
39.84,1995.89,0,0,42.6
25.38,1260.91,0,0,29.14
29.06,2104.79,1,1,77.48
24.88,1235.14,0,0,34.34
10.16,1516.39,1,0,39.2
36.26,27.02,0,0,25.41
14.4,2076.7,1,0,52.91
1.7,1985.72,0,0,25.99
32.45,120.01,1,0,27.41
9.27,1107.91,0,0,22.62
47.05,2937.2,0,1,69.8
47.72,1265.11,0,0,40.08
45.79,1508.33,0,0,46.12
18.82,2730.24,0,1,57.07
1.27,2153.2,0,0,24.29
46.45,1748.3,1,0,61.14
21.7,2394.43,0,1,56.55
48.35,2593.78,1,0,83.54
48.2,1373.38,1,0,56.61
42.72,1427.95,0,0,46.83
15.08,1161.22,0,0,26.21
19.56,2900.28,0,0,43.18
42.63,2093.01,0,0,45.21
16.19,254.25,0,0,13.2
8.89,2589.56,1,0,62.07
28.06,1444.28,0,1,47.25
46.84,210.92,0,0,34.71
34.95,1651.4,0,0,42.66
28.72,1254.41,1,1,61.03
5.31,2633.86,0,0,31.05
30.94,615.96,0,0,24.95
49.51,2480.26,0,1,72.7
7.43,1675.28,0,0,24.06
26.16,168.56,1,0,24.26
43.93,2915.68,1,0,86.47
37.17,1540.28,0,0,39.12
35.0,876.18,0,0,29.51
35.27,1410.87,0,0,36.51
18.29,2574.28,0,0,40.36
15.03,918.18,0,0,24.28
40.56,582.07,0,0,28.89
40.6,391.57,0,0,28.56
43.42,897.09,1,0,44.76
45.71,2341.24,0,0,52.92
25.81,1417.52,1,0,43.98
25.33,686.31,0,0,21.23
40.02,502.72,0,0,31.72
32.67,1001.52,1,0,37.57
35.25,2820.07,0,0,54.04
39.89,1032.37,0,1,49.88
44.56,2964.43,0,1,68.05
17.23,1458.27,0,1,42.0
19.09,541.6,1,1,41.33
5.15,2673.96,1,0,59.72
29.12,1383.76,0,0,33.45
2.28,2130.47,0,0,29.29
23.55,2951.22,0,0,45.78
27.36,155.28,0,1,32.89
14.68,294.6,0,0,14.54
29.75,2162.77,0,1,60.04
2.01,849.07,0,0,18.71
2.35,556.98,0,1,21.69
41.22,122.89,0,0,29.57
18.33,70.43,0,0,15.49
6.79,2324.58,0,0,33.95
26.35,407.63,1,0,24.95
38.61,1405.82,1,1,63.0
11.18,1819.66,0,0,30.25
31.33,1287.91,0,0,31.19
4.72,86.18,1,0,5.62
3.06,2351.59,1,1,65.26
26.8,36.49,1,0,20.63
27.26,2286.86,0,0,41.85
32.05,2680.45,1,0,76.59
36.44,1301.36,0,0,37.91
48.8,1608.95,1,0,60.53
26.06,1433.57,1,0,46.52
16.49,1170.68,0,1,38.67
39.86,2662.84,1,1,92.66
13.91,2682.33,0,0,36.36
22.23,1010.77,1,1,52.31
4.38,1847.13,0,0,28.35
1.75,2781.09,1,0,59.46
48.15,2886.37,0,0,61.14
41.88,1529.33,1,0,56.81
34.95,1361.21,0,1,51.69
20.74,839.69,0,0,19.52
9.08,2876.82,0,0,33.79
8.24,432.73,1,0,18.14
12.89,1741.59,0,0,30.83
27.69,851.24,0,0,25.68
35.87,840.63,0,0,35.52
33.18,1217.88,1,0,47.78
14.36,2996.38,0,1,54.87
47.77,169.62,0,0,30.66
37.03,1737.73,0,0,47.08
27.94,252.3,0,0,18.39
30.78,467.79,0,0,26.39
21.27,1321.49,0,1,43.04
12.76,1533.83,1,0,43.83
18.12,780.08,1,0,32.83
38.01,952.79,0,1,47.57
1.21,265.47,0,0,11.06
6.25,913.14,0,0,22.81
2.78,2899.84,0,0,35.55
2.52,2834.4,1,1,79.91
42.85,1007.96,0,0,35.03
35.33,1714.71,0,0,39.86
23.97,2729.24,0,0,43.84
5.34,23.52,1,0,10.13
24.83,2433.0,0,0,44.76
23.94,2845.37,0,0,45.15
9.07,278.52,0,0,16.16
21.98,488.54,1,0,29.58
20.23,2882.44,1,0,74.88
30.98,1614.93,0,1,50.35
31.94,47.52,0,0,19.91
2.74,776.61,1,0,19.87
19.04,1352.58,0,0,30.42
31.48,2080.26,0,0,38.51
25.41,2200.82,0,0,41.4
42.9,2986.29,0,0,53.61
33.11,866.1,0,0,32.27
8.57,1616.97,1,1,56.67
3.99,1602.3,0,0,26.35
32.3,1219.91,0,0,36.2
1.81,511.64,1,0,19.73
29.5,2932.48,0,1,67.72
47.04,2560.68,0,0,54.49
28.99,1497.51,0,0,31.57
19.71,1811.72,1,1,63.46
32.34,685.65,1,0,29.67
23.18,1633.64,1,0,46.56
27.51,2086.44,1,0,60.65
47.1,1547.93,0,1,57.63
19.61,2970.9,0,0,44.06
48.08,1835.97,1,1,81.99
45.31,1116.07,0,0,38.06
10.19,2317.6,0,0,30.47
3.93,515.54,0,0,11.99
5.49,1156.62,0,0,17.06
1.4,1044.14,1,0,25.91
5.17,1298.26,0,0,23.93
34.31,2346.43,0,0,44.94
4.02,1455.1,1,0,40.54
16.29,2383.07,0,0,40.55
42.32,1731.58,0,1,57.03
1.65,1029.5,0,0,13.34
40.82,2430.89,1,1,88.89
14.45,718.68,1,0,29.48
6.35,677.03,1,1,35.49
34.99,1515.99,1,0,55.08
31.63,786.24,0,0,31.7
43.93,32.22,1,1,40.68
36.89,1946.65,1,1,75.69
40.27,1535.73,0,0,42.28
14.46,1339.33,0,0,26.0
9.28,2901.07,1,0,65.95
37.66,1715.74,1,0,57.26
40.44,2590.98,1,1,91.86
49.53,422.65,1,0,34.31
20.92,1709.77,0,1,49.47
18.91,2604.6,0,0,39.31
38.93,1751.4,0,1,50.02
17.37,2155.45,0,1,50.18
46.57,1119.27,1,0,48.82
42.99,281.89,0,0,33.54
21.74,1376.41,0,1,43.17
37.67,1186.47,0,0,32.95
37.85,2601.85,0,0,51.21
5.6,735.77,0,0,13.51
45.18,2900.37,0,0,54.64
25.51,2874.62,0,1,62.77
41.41,746.66,0,0,30.57
16.34,1047.42,1,1,45.48
44.83,2687.19,0,0,58.6
19.77,2900.03,0,0,45.33
1.04,1333.1,0,0,18.19
45.32,966.39,0,0,37.31
5.02,1580.65,0,0,24.58
16.31,2064.87,1,0,56.88
47.53,824.06,1,0,43.36
47.56,2210.74,0,1,66.8
28.89,159.71,0,0,19.77
31.78,152.64,1,0,23.47
22.7,1161.93,1,0,39.99
15.01,1063.65,0,0,23.13
16.77,950.32,0,0,24.73
33.79,1475.6,0,0,37.87
37.74,965.6,0,0,29.76
39.68,580.81,0,0,27.26
39.59,931.86,0,0,33.19
5.01,2924.84,0,0,41.33
24.97,1236.28,0,0,27.72
3.35,1336.91,1,1,47.89
27.7,1731.75,1,0,52.15
22.36,2950.11,0,0,44.29
44.44,728.6,1,0,42.24
17.87,2045.44,0,1,52.89
6.29,2149.37,1,0,52.27
7.58,1823.94,0,0,25.02
38.19,270.29,0,1,48.68
31.1,2032.23,0,0,41.07
5.51,196.96,0,0,8.28
4.66,1790.45,1,0,46.67
35.2,2220.05,0,0,43.63
4.1,636.85,0,0,17.58
41.18,2525.66,0,0,48.67
35.46,95.91,0,0,27.26
4.53,2532.22,0,0,33.09
4.7,1383.69,0,1,39.41
49.34,656.68,1,0,47.56
19.03,405.67,1,0,19.79
18.85,2860.15,1,0,74.82
40.73,222.63,0,0,24.07
47.39,601.28,1,0,38.1
49.31,1046.73,0,0,38.11
37.79,1862.6,0,0,43.78
19.12,1636.68,0,0,31.01
4.63,381.3,1,0,14.52
38.97,872.74,1,0,42.3
28.14,720.06,1,0,34.95
21.5,644.56,1,1,45.31
45.36,1236.38,1,0,55.15
6.0,2113.57,1,0,54.82
24.88,656.27,0,0,23.95
1.06,1103.2,0,1,30.26
23.7,1175.8,0,0,30.14
3.29,2929.49,0,0,33.08
6.38,2864.23,0,0,35.14
6.32,2401.41,0,0,34.67
32.64,728.77,0,1,43.3
37.43,208.77,1,0,24.87
29.38,954.13,1,0,35.05
48.13,804.05,0,1,52.23
19.06,1520.25,0,0,32.59
14.64,2334.3,0,1,53.49
43.5,2575.68,0,0,52.78
11.57,2535.37,1,0,66.51
48.18,1082.23,0,1,54.65
1.1,2063.27,0,0,25.84
48.51,941.94,1,0,41.67
2.64,187.41,1,0,8.95
44.61,2106.19,0,0,50.5
26.62,34.43,1,0,22.91
49.65,1230.5,0,0,40.06
4.15,991.49,0,0,18.15
27.92,2081.67,0,0,42.39
48.48,2299.91,0,1,67.27
26.39,915.76,0,0,21.65
31.66,2435.82,0,0,45.8
34.94,885.28,0,0,33.23
23.0,1341.75,1,0,40.97
31.56,2182.42,0,0,41.97
29.42,2080.3,0,0,37.63
45.11,2962.17,1,1,95.37
2.75,679.36,0,1,30.74
14.41,1988.64,1,0,51.97
47.55,1831.0,0,0,51.08
44.57,2745.72,0,0,56.88
23.06,473.3,0,0,20.38
31.2,2256.64,0,0,42.96
14.23,1706.96,0,0,30.6
9.81,827.62,0,0,20.6
23.45,1425.93,0,0,31.79
17.99,1004.66,0,1,41.81
29.39,1740.04,0,0,36.35
4.35,2667.56,0,0,31.36
48.73,1710.07,0,0,46.3
49.32,1897.01,0,1,64.14
35.06,1558.65,0,1,50.11
27.04,158.24,0,0,16.76
15.82,702.41,1,0,28.08
40.78,1478.55,0,1,54.16
34.39,934.15,1,0,40.47
8.55,549.38,0,1,28.87
45.59,1514.88,0,0,46.75
41.22,971.82,0,0,38.48
47.52,778.03,1,0,41.22
36.42,1394.64,0,0,35.83
30.86,404.19,0,0,26.6
21.2,2783.6,0,0,44.94
46.67,2603.77,0,1,69.27
43.37,2124.32,0,0,45.08
2.74,323.11,0,0,7.89
1.81,2328.75,0,0,27.9
19.13,2424.83,0,0,39.51
40.62,2304.46,0,0,52.62
49.37,346.33,1,0,34.89
7.95,1933.5,1,0,45.08
29.91,2503.8,0,0,44.72
19.35,1734.17,0,1,49.6
48.51,1940.99,1,0,64.46
42.18,1377.8,0,1,58.5
42.0,1588.48,0,0,41.45
23.7,107.96,1,0,17.17
21.03,1918.69,0,0,30.7
14.03,248.93,0,0,16.27
3.29,1307.87,1,0,32.37
43.3,881.5,0,0,35.89
40.74,1638.56,1,0,55.89
49.99,404.58,1,0,37.29
49.83,2076.47,1,1,85.23
27.99,2386.06,0,0,42.61
38.56,494.25,0,0,27.55
47.27,317.42,0,1,42.97
42.56,440.82,0,0,37.51
12.74,2632.0,0,0,34.28
22.8,1586.93,0,0,32.72
6.89,1404.45,0,0,18.06
47.73,324.6,0,0,27.12
30.51,1950.42,0,0,40.0
11.82,2604.66,1,0,63.44
33.75,2485.42,1,0,74.74
31.1,1880.03,1,0,59.15
18.23,230.46,0,0,16.04
6.12,341.63,1,0,12.52
33.74,152.68,1,0,28.67
26.26,776.15,0,0,28.21
38.73,411.31,0,1,40.36
26.25,783.84,0,0,26.06
42.68,1158.25,0,0,38.28
27.82,2829.23,0,0,46.34
28.27,1833.08,0,0,39.39
43.89,2505.75,1,0,79.14
20.47,2132.5,0,1,51.09
7.13,341.95,0,1,26.28
1.92,2209.08,1,1,68.89
37.88,828.92,0,1,49.56
31.21,1919.13,1,1,74.17
35.35,1026.18,0,0,28.86
11.04,2993.03,1,0,71.24
7.25,794.34,0,0,18.31
1.22,841.0,0,0,7.13
17.85,2792.36,0,0,42.48
29.7,78.81,1,0,20.38
19.92,2091.58,1,0,56.24
22.16,2177.35,0,0,35.58
45.26,2509.95,1,0,77.46
17.74,2923.45,0,0,46.58
25.94,2926.93,0,1,61.12
39.29,200.5,1,0,31.07
20.13,2466.41,0,1,52.71
31.29,1940.7,0,0,41.95
43.19,1943.79,1,0,65.47
47.5,389.41,1,0,37.42
7.78,1952.31,1,0,47.95
46.37,2947.54,1,0,88.74
24.86,2735.9,0,0,38.37
13.28,1320.2,1,0,34.5
23.23,124.64,0,1,33.9
49.01,1090.07,1,0,46.2
24.88,2480.04,0,0,40.92
16.77,2105.99,0,0,34.31
31.85,1380.73,0,0,32.66
12.39,170.03,0,0,11.16
4.26,1283.55,0,0,20.64
6.88,1409.73,1,0,39.16
6.84,2786.02,1,0,61.74
8.02,1925.05,0,0,26.82
7.37,938.4,1,0,25.63
32.22,1578.33,0,0,30.84
9.5,202.84,0,0,12.13
17.61,2917.84,0,0,45.32
44.89,1083.38,1,0,51.65
23.96,1436.21,1,0,43.53
33.54,1069.08,0,0,29.33
9.03,2049.12,0,1,45.06
10.02,1988.39,0,0,31.97
2.52,2147.39,0,0,28.12
8.86,808.09,0,0,18.24
14.29,950.43,0,1,39.5
9.26,380.13,0,0,11.58
4.89,1968.25,1,1,61.26
6.47,124.19,0,0,13.56
23.31,1795.06,0,0,34.11
10.71,2609.74,0,0,33.29
18.53,2673.04,1,0,66.05
25.42,1349.87,1,0,42.36
34.67,1380.61,1,0,50.84
2.45,235.52,0,0,6.34
40.07,2013.94,1,0,65.99
31.58,2464.67,0,0,43.6
4.55,737.74,0,0,9.34
43.74,1266.8,0,1,55.31
46.08,2517.32,0,0,53.59
3.52,2631.98,1,0,60.7
14.21,733.32,1,0,25.09
40.41,1653.96,0,1,54.79
37.54,581.52,0,0,30.59
9.63,310.13,0,0,16.72
10.86,2733.81,0,1,52.8
18.84,2462.42,0,1,55.1
24.48,2281.3,1,0,62.06
31.1,151.06,1,0,19.71
18.76,2531.97,0,0,42.12
23.4,1316.94,1,0,45.31
37.5,1030.47,0,1,50.83
2.32,1641.7,0,1,37.12
13.0,278.6,0,0,15.78
35.81,2271.16,0,0,47.85
44.81,1749.39,1,0,66.44
25.83,563.84,0,1,41.02
26.84,568.76,0,0,24.27
5.81,556.82,0,0,10.2
22.65,175.72,1,0,20.23
26.86,1765.46,0,0,36.73
12.5,2521.84,1,0,63.46
13.83,57.41,1,1,31.45
19.18,151.77,0,0,15.87
1.49,1720.45,0,0,28.2
16.44,2459.39,1,0,58.01
10.97,983.58,0,1,36.37
16.71,1052.1,1,0,32.4
6.43,1791.06,0,0,21.36
44.58,826.27,0,1,50.05
29.88,84.69,1,1,32.99
34.12,2207.01,1,1,80.79
39.56,1878.82,1,0,62.45
25.17,1744.36,0,0,37.83
4.8,2226.34,1,0,48.16
27.09,2027.32,1,0,61.36
29.55,621.62,1,0,32.45
37.4,1060.68,0,0,36.88
21.87,382.7,0,0,18.68
6.82,393.92,1,0,12.96
14.55,2030.21,0,0,29.53
18.47,2576.51,0,1,51.77
32.47,2888.38,0,0,51.31
28.75,1886.9,0,0,41.94
18.13,556.38,0,0,18.21
49.33,321.42,0,0,34.45
30.49,2439.49,1,0,65.22
12.24,1738.38,0,0,28.96
5.54,1856.76,0,0,28.01
8.07,2345.48,0,1,43.87
12.67,2111.32,0,0,31.94
8.45,2504.2,0,0,36.06
9.74,173.36,1,0,6.0
14.61,2243.82,0,0,38.08
9.08,2553.3,1,0,61.49
44.89,861.97,0,0,37.86
4.47,1923.14,0,0,25.44
26.46,945.92,0,1,38.38
20.81,2874.12,0,1,60.48
49.13,105.1,1,1,46.46
6.05,1741.48,1,0,42.93
20.19,503.68,0,0,22.85
48.49,2138.1,0,1,67.53
43.34,531.79,0,0,36.79
40.95,709.97,0,1,47.96
13.27,1485.64,1,0,39.62
8.96,2744.93,0,0,36.46
33.6,639.08,1,0,35.62
46.5,437.0,0,0,35.16
28.06,2278.14,0,0,38.14
28.79,1504.36,0,1,49.46
14.36,2735.8,0,0,43.56
38.59,444.11,1,0,32.58
9.76,1939.55,0,1,46.6
16.52,702.47,1,0,28.54
21.56,474.5,0,0,22.91
25.63,2051.87,1,0,56.83
12.5,1783.09,0,0,27.07
6.18,2265.71,1,0,53.46
30.73,931.84,1,0,35.17
14.79,1346.68,1,1,53.65
29.27,1219.39,0,0,32.46
8.14,2952.35,1,0,72.58
24.32,880.29,0,0,26.97
26.86,887.98,0,0,28.87
3.07,1066.87,0,0,20.11
17.16,1695.96,0,0,28.13
7.15,760.71,1,0,23.38
3.64,2746.29,0,0,40.34
49.5,800.73,0,0,37.56
16.46,2687.97,0,0,42.9
40.59,314.91,0,0,30.85
13.1,1971.41,0,0,27.57
34.23,2721.42,0,0,50.11
38.13,510.4,0,0,29.54
29.98,2905.14,0,1,64.87
23.84,1361.39,1,0,42.26
20.89,2837.42,1,1,84.4
17.77,2032.08,1,0,53.34
46.51,908.25,0,1,52.09
41.62,568.97,0,0,34.46
48.27,914.69,0,0,42.82
6.65,283.59,0,0,14.65
36.68,435.88,0,0,29.85
46.95,318.46,0,0,29.15
9.47,1271.72,0,0,21.43
3.79,2387.76,0,0,31.3
37.19,428.44,1,0,30.58
28.94,395.31,0,1,39.86
42.17,1932.07,0,0,47.21
7.42,595.56,0,0,16.01
39.87,297.34,0,0,30.47
10.48,504.71,0,0,13.03
8.6,2771.58,0,0,39.35
8.63,2465.31,0,0,32.23
40.82,1065.42,1,0,44.37
33.43,1969.18,1,1,77.43
26.39,1614.14,0,0,37.38
18.26,2032.99,0,0,35.68
43.92,2049.6,0,0,47.51
19.93,1888.06,1,0,53.5
40.92,801.97,0,0,33.82
22.24,121.82,0,0,14.52
19.16,1369.42,0,0,25.17
23.4,2673.47,0,0,43.24
15.42,1710.64,1,0,47.12
37.51,2498.01,0,1,63.76
25.38,2974.91,0,0,49.13
11.99,495.03,0,0,15.41
45.03,2076.87,0,0,49.69
19.5,2024.51,1,0,54.88
27.41,2939.97,1,0,82.06
45.37,2956.87,0,0,57.46
31.4,2061.6,0,0,47.17
6.29,734.63,0,0,16.37
47.02,2396.67,0,1,66.94
31.57,325.55,0,0,21.79
17.08,2343.19,0,0,33.36
7.39,2731.04,0,1,48.53
39.8,1151.59,0,1,49.22
31.19,1893.75,0,0,40.52
26.91,1293.28,1,0,43.0
44.75,1316.11,0,0,41.0
39.54,934.56,1,0,46.66
8.01,2287.58,0,0,31.66
15.93,2808.85,0,0,46.25
12.8,2822.55,1,0,64.91
37.33,528.47,0,0,28.57
2.16,2624.86,1,0,57.23
28.71,2213.61,0,0,43.83
38.24,762.25,0,0,26.14
43.9,206.52,0,0,25.41
17.43,807.65,0,0,21.52
41.15,2737.06,0,0,56.83
5.98,1901.37,0,0,27.57
42.4,2164.56,0,0,44.47
6.81,775.17,0,0,13.16
20.17,2159.57,0,1,55.86
39.97,89.22,0,1,39.32
7.92,1129.09,0,0,17.89
11.85,1882.13,0,1,48.44
36.25,442.56,1,0,34.5
36.14,2469.9,1,0,75.65
32.24,708.92,0,1,40.83
34.85,1958.58,1,0,57.78
27.36,1218.57,0,0,31.2
12.96,1790.15,1,0,48.12
17.61,326.81,1,0,21.25
9.49,55.65,1,0,14.55
45.47,2729.15,0,0,50.69
29.38,812.54,0,0,29.96
20.34,2459.93,0,0,37.03
23.37,2998.05,1,0,78.79
47.39,638.24,0,1,48.89
8.09,799.19,1,0,22.99
29.52,1990.27,0,0,38.14
25.54,2896.52,1,0,72.09
30.77,2747.86,0,1,62.96
1.4,1511.11,0,0,18.88
43.67,2386.36,0,0,52.66
46.64,411.56,0,0,34.04
28.47,2932.43,0,1,67.78
34.98,2893.24,1,0,81.27
46.16,495.37,0,0,34.34
35.51,901.77,0,0,35.27
8.05,304.96,1,0,13.56
29.03,818.79,0,0,23.98
30.53,2448.79,1,0,69.74
21.49,1138.06,1,0,34.95
36.95,269.75,0,0,32.31
46.75,1029.97,0,0,42.31
46.32,2944.24,0,1,78.01
22.82,1890.9,1,1,69.38
6.11,1251.4,0,0,21.94
49.25,503.78,0,0,33.51
42.03,2958.6,1,0,87.39
6.67,2463.44,0,0,29.93
46.08,848.02,1,0,38.64
43.56,214.86,1,0,29.1
26.18,174.59,0,0,16.2
29.77,365.53,1,0,30.89
20.25,1744.4,1,1,69.55
3.21,2786.65,0,0,30.96
17.09,1492.75,0,0,31.7
40.24,2529.62,0,0,52.8
0.73,1340.43,0,1,29.84
17.01,2127.21,1,0,55.07
20.21,2196.96,0,0,35.62
27.1,526.02,0,0,25.68
46.03,1086.84,0,0,35.81
17.64,1913.72,0,0,32.71
17.67,216.74,1,0,16.46
37.01,1087.81,1,0,46.44
22.88,1606.72,0,0,31.97
11.62,2988.69,0,0,39.36
22.9,1426.23,0,0,30.18
7.47,2449.09,0,0,38.32
9.23,1299.04,0,0,21.56
25.17,2390.19,0,1,53.88
21.24,1788.27,1,0,52.84
